room_count,bathroom_count,size,price,log_price,category_encoded,city_encoded,region_encoded,type_encoded
2.0,1.0,75.0,130.0,2.113943352306837,2,0,5,0
-1.0,-1.0,-1.0,55000000.0,7.740362689494244,6,0,187,1
3.0,1.0,200.0,90000.0,4.954242509439325,5,0,187,1
-1.0,-1.0,-1.0,550000.0,5.740362689494244,6,0,5,1
1.0,1.0,50.0,85.0,1.9294189257142929,3,0,70,0
2.0,1.0,105.0,230000.0,5.361727836017593,0,0,107,1
1.0,1.0,138.0,80000.0,4.903089986991944,5,0,187,1
2.0,1.0,70.0,90.0,1.954242509439325,3,0,70,0
2.0,1.0,103.0,115000.0,5.060697840353612,5,0,91,1
-1.0,-1.0,-1.0,650000.0,5.812913356642856,6,0,137,1
-1.0,-1.0,-1.0,708800.0,5.8505237088789945,6,0,19,1
-1.0,-1.0,-1.0,200000.0,5.301029995663981,6,0,187,1
-1.0,-1.0,-1.0,2250000.0,6.352182518111363,6,0,187,1
-1.0,-1.0,-1.0,260000.0,5.414973347970818,6,0,187,1
-1.0,-1.0,-1.0,500000.0,5.698970004336019,6,0,187,1
-1.0,-1.0,-1.0,170000.0,5.230448921378274,6,0,224,1
-1.0,-1.0,-1.0,400000.0,5.6020599913279625,6,0,224,1
-1.0,-1.0,-1.0,270000.0,5.431363764158987,6,0,224,1
-1.0,-1.0,-1.0,250000.0,5.3979400086720375,6,0,224,1
-1.0,-1.0,-1.0,280000.0,5.447158031342219,6,0,224,1
-1.0,-1.0,-1.0,350000.0,5.544068044350276,6,0,224,1
-1.0,-1.0,-1.0,1100000.0,6.041392685158225,6,0,224,1
-1.0,-1.0,-1.0,180000.0,5.2552725051033065,6,0,224,1
-1.0,-1.0,-1.0,400000.0,5.6020599913279625,6,0,187,1
-1.0,-1.0,-1.0,150000.0,5.176091259055681,6,0,224,1
-1.0,-1.0,-1.0,250000.0,5.3979400086720375,6,0,224,1
-1.0,-1.0,-1.0,2400000.0,6.380211241711606,6,0,224,1
-1.0,-1.0,-1.0,220000.0,5.342422680822207,6,0,224,1
-1.0,-1.0,-1.0,250000.0,5.3979400086720375,6,0,224,1
3.0,1.0,163.0,340000.0,5.531478917042255,0,0,19,1
3.0,1.0,120.0,400000.0,5.6020599913279625,5,0,91,1
-1.0,-1.0,-1.0,650000.0,5.812913356642856,6,0,187,1
-1.0,-1.0,-1.0,800000.0,5.903089986991944,6,0,91,1
-1.0,-1.0,-1.0,900000.0,5.954242509439325,6,0,5,1
-1.0,-1.0,-1.0,4000000.0,6.6020599913279625,6,0,224,1
-1.0,-1.0,-1.0,200000.0,5.301029995663981,6,0,224,1
8.0,3.0,280.0,145000.0,5.161368002234975,5,0,91,1
3.0,2.0,188.0,257000.0,5.409933123331294,5,0,107,1
1.0,1.0,65.0,800.0,2.903089986991944,0,0,70,0
1.0,1.0,83.0,950.0,2.977723605288848,0,0,137,0
3.0,1.0,76.0,115000.0,5.060697840353612,0,0,37,1
-1.0,-1.0,-1.0,700000.0,5.845098040014257,6,0,137,1
-1.0,-1.0,-1.0,90000.0,4.954242509439325,6,0,187,1
-1.0,-1.0,-1.0,320000.0,5.505149978319906,6,0,137,1
2.0,2.0,120.0,1200.0,3.0791812460476247,0,0,107,0
1.0,1.0,50.0,300.0,2.4771212547196626,0,0,19,0
2.0,2.0,130.0,28000.0,4.447158031342219,0,0,107,1
-1.0,-1.0,-1.0,75000.0,4.8750612633917,6,0,187,1
2.0,1.0,125.0,78000.0,4.892094602690481,5,0,7,1
2.0,1.0,110.0,900.0,2.9542425094393248,0,0,6,0
4.0,2.0,400.0,3000.0,3.4771212547196626,1,0,7,0
1.0,0.0,100.0,650.0,2.812913356642856,4,0,107,0
-1.0,-1.0,-1.0,85000.0,4.929418925714293,6,0,187,1
4.0,3.0,370.0,1100000.0,6.041392685158225,0,0,137,1
3.0,1.0,500.0,1360.0,3.133538908370217,0,0,137,0
